unique_id,num_votes,num_good_votes,classifiable_frac,extended_frac,dsk_frac,sph_frac,pec_frac,smooth_frac,class,confident,RA,DEC
egs12200,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,disk,False,214.8548792018,52.8128807248
egs12228,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.1666666666666666,peculiar,False,214.8270454282,52.7931091691
egs12268,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,disk,False,214.8933869353,52.842193146
egs12326,6.0,0.0,0.0,1.0,,,,,,True,214.8463889366,52.8090396822
egs12360,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8329127169,52.7995742677
egs12369,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.8333333333333334,peculiar,False,214.8285617303,52.7966983083
egs12370,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,peculiar,False,214.9024519774,52.8487726446
egs12397,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.0,peculiar,False,214.8552104582,52.8146485104
egs12408,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333334,disk,False,214.8773045493,52.8316575912
egs12418,6.0,6.0,1.0,1.0,0.5,0.3333333333333333,0.1666666666666666,0.5,disk,False,214.8562967374,52.8165703709
egs12419,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.8333333333333334,peculiar,False,214.8325435393,52.7998485005
egs12432,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.5,peculiar,False,214.8243945135,52.7937263343
egs12436,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,disk,False,214.9006242722,52.8483795754
egs12463,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.1666666666666666,peculiar,False,214.9033894606,52.8494451553
egs12467,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,disk,True,214.8311403839,52.79832938
egs12506,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,0.6666666666666666,disk,False,214.8807160019,52.8338094916
egs12511,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.0,peculiar,False,214.9004613555,52.8488171042
egs12517,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8358150788,52.8024982974
egs12542,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,disk,False,214.8562523898,52.8172800112
egs12551,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.5,ambiguous,False,214.8998374229,52.8485182055
egs12557,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,peculiar,False,214.8284495507,52.7974898587
egs12568,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.1666666666666666,peculiar,False,214.8295848041,52.7987422761
egs12579,6.0,6.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,ambiguous,False,214.8331514127,52.8013582565
egs12586,6.0,6.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,ambiguous,False,214.8336579415,52.8017279536
egs12593,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.8237992597,52.794777923
egs12600,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.5,disk,False,214.8264456829,52.7963684892
egs12608,6.0,6.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,ambiguous,False,214.8505970384,52.8138286609
egs12622,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.1666666666666666,peculiar,True,214.8787886509,52.8327960021
egs12640,6.0,6.0,1.0,1.0,0.5,0.0,0.5,1.0,ambiguous,False,214.8288475036,52.7986780065
egs12642,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,disk,False,214.8493470087,52.8128670623
egs12644,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.5,peculiar,True,214.8487975133,52.8125820704
egs12673,6.0,6.0,1.0,1.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,disk,False,214.8512889504,52.8147260795
egs12677,6.0,6.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,disk,False,214.8963655272,52.8468938162
egs12678,6.0,5.0,0.8333333333333334,1.0,0.2,0.0,0.8,1.0,peculiar,False,214.8347044068,52.8030087758
egs12685,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.8333333333333334,peculiar,True,214.8819875475,52.8366902059
egs12688,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.5,disk,False,214.9013134292,52.8499987447
egs12699,6.0,6.0,1.0,1.0,0.0,0.8333333333333334,0.1666666666666666,1.0,spheroid,False,214.9069126938,52.8544972357
egs12700,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,1.0,disk,False,214.8525044276,52.8158343877
egs12727,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,peculiar,False,214.8978817781,52.8473916998
egs12728,6.0,6.0,1.0,1.0,0.1666666666666666,0.8333333333333334,0.0,1.0,spheroid,False,214.837112803,52.8049880741
egs12738,6.0,6.0,1.0,1.0,0.1666666666666666,0.0,0.8333333333333334,0.6666666666666666,peculiar,False,214.8851520168,52.8391923387
egs12751,6.0,6.0,1.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,disk,False,214.826305985,52.7968692237
egs12766,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.8333333333333334,disk,True,214.8979350621,52.8484243539
egs12780,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.6666666666666666,ambiguous,False,214.8893934395,52.842239571
egs12787,6.0,6.0,1.0,1.0,0.0,0.8333333333333334,0.1666666666666666,1.0,spheroid,False,214.8397471429,52.80710127
egs12790,6.0,6.0,1.0,1.0,0.3333333333333333,0.1666666666666666,0.5,0.6666666666666666,peculiar,False,214.876492883,52.8331663003
egs12800,6.0,6.0,1.0,1.0,0.5,0.0,0.5,0.3333333333333333,ambiguous,False,214.9050779875,52.8531962147
egs12809,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,disk,True,214.9125280543,52.8570332249
egs12818,6.0,6.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,peculiar,False,214.8530801498,52.8167776134
egs12831,6.0,6.0,1.0,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,disk,False,214.9090589585,52.85656619
egs12840,6.0,1.0,0.1666666666666666,1.0,1.0,0.0,0.0,1.0,,False,214.8397290151,52.807294781
